query_drug,generic_name,rxcui,spl_set_id,source_section,source_text,source_url,has_number,constraint_var,constraint_op,constraint_value,unit,curator,curator_note
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,"4 CONTRAINDICATIONS Severe renal impairment: (eGFR below 30 mL/min/1.73 m 2 ) ( 4) Metabolic acidosis, including diabetic ketoacidosis.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,True,egfr,<,30,mL/min/1.73m2,auto:curate_thresholds.py,metformin_renal: attested_exact in [contraindications]. NOT human-verified.
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,"( 4 ) History of a serious hypersensitivity reaction to ZITUVIMET, sitagliptin, or metformin, such as anaphylaxis or angioedema.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,True,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,(4) ZITUVIMET is contraindicated in patients with: Severe renal impairment (eGFR below 30 mL/min/1.73 m 2 ) [see Warnings and Precautions ( 5.1 )].,https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,True,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,"Acute or chronic metabolic acidosis, including diabetic ketoacidosis.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,False,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,"History of a serious hypersensitivity reaction to sitagliptin, metformin, or any of the excipients in ZITUVIMET.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,False,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,contraindications,Serious hypersensitivity reactions including anaphylaxis or angioedema have been reported. [see Warnings and Precautions ( 5.7 ) and Adverse Reactions ( 6.2 )].,https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,True,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,boxed_warning,WARNING: LACTIC ACIDOSIS WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning .,https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,False,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,boxed_warning,"Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,False,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,boxed_warning,"Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,False,,,,,,
metformin,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"861769,861819,2677162,2677164",0098dec4-f0e5-45d5-8aa4-5d0faf9ab142,boxed_warning,"Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio, and metformin plasma levels generally >5 mcg/mL.",https://api.fda.gov/drug/label.json?search=openfda.spl_set_id:%220098dec4-f0e5-45d5-8aa4-5d0faf9ab142%22,True,,,,,,
