threshold,kept,coverage,error
0.502906,1,0.000027,0.000000
0.516685,7,0.000192,0.000000
0.530304,22,0.000602,0.000000
0.543716,47,0.001286,0.000000
0.556871,85,0.002326,0.000000
0.569717,162,0.004433,0.000000
0.582203,262,0.007170,0.000000
0.594276,394,0.010782,0.000000
0.605883,576,0.015763,0.000000
0.61697,788,0.021564,0.000000
0.627487,972,0.026600,0.000000
0.637381,1189,0.032538,0.000000
0.646604,1547,0.042335,0.060116
0.655107,2795,0.076487,0.249732
0.662847,6476,0.177221,0.442712
0.669782,13889,0.380083,0.539204
0.675873,23996,0.656669,0.600058
0.681088,31347,0.857835,0.627907
0.685395,35149,0.961879,0.654841
0.688772,36331,0.994226,0.664997
0.691198,36525,0.999535,0.666776
0.692659,36542,1.000000,0.666931
