threshold,kept,coverage,error
0.145311,1,0.000506,0.000000
0.159354,2,0.001011,0.000000
0.166795,3,0.001517,0.000000
0.174523,5,0.002528,0.200000
0.182545,6,0.003033,0.166667
0.190865,10,0.005056,0.100000
0.199488,13,0.006572,0.076923
0.208417,17,0.008595,0.058824
0.217655,22,0.011122,0.090909
0.227206,25,0.012639,0.080000
0.237069,31,0.015672,0.064516
0.247246,41,0.020728,0.219512
0.257736,52,0.026289,0.192308
0.268535,62,0.031345,0.193548
0.279642,74,0.037412,0.202703
0.29105,88,0.044489,0.204545
0.302753,102,0.051567,0.225490
0.314743,116,0.058645,0.232759
0.327009,141,0.071284,0.276596
0.33954,175,0.088473,0.302857
0.35232,208,0.105157,0.312500
0.365334,249,0.125885,0.313253
0.378562,299,0.151163,0.347826
0.391983,356,0.179980,0.382022
0.405573,409,0.206775,0.386308
0.419307,481,0.243175,0.399168
0.433154,562,0.284125,0.418149
0.447084,662,0.334681,0.436556
0.461062,751,0.379676,0.454061
0.475052,837,0.423155,0.476703
0.489013,942,0.476239,0.497877
0.502906,1034,0.522750,0.512573
0.516685,1144,0.578362,0.538462
0.530304,1238,0.625885,0.547658
0.543716,1326,0.670374,0.560332
0.556871,1409,0.712336,0.577715
0.569717,1493,0.754803,0.587408
0.582203,1557,0.787159,0.599872
0.594276,1633,0.825581,0.608083
0.605883,1693,0.855915,0.617838
0.61697,1757,0.888271,0.628913
0.627487,1804,0.912032,0.635255
0.637381,1838,0.929221,0.640370
0.646604,1859,0.939838,0.643357
0.655107,1892,0.956522,0.649049
0.662847,1904,0.962588,0.651261
0.669782,1928,0.974722,0.655083
0.675873,1936,0.978766,0.656508
0.681088,1952,0.986855,0.658299
0.685395,1959,0.990394,0.659520
0.688772,1968,0.994944,0.661077
0.691198,1973,0.997472,0.661429
0.692659,1977,0.999494,0.661608
0.693147,1978,1.000000,0.661274
