threshold,kept,coverage,error
0.0777029,10,0.000274,0.000000
0.0816481,61,0.001669,0.000000
0.0857764,208,0.005692,0.163462
0.0900948,590,0.016146,0.127119
0.0946102,1315,0.035986,0.129278
0.0993298,2363,0.064665,0.141769
0.104261,4136,0.113185,0.199952
0.109411,6156,0.168464,0.205328
0.114786,9153,0.250479,0.208128
0.120396,12841,0.351404,0.228721
0.126245,16755,0.458513,0.238019
0.132343,20825,0.569892,0.249652
0.138696,24929,0.682201,0.264993
0.145311,28210,0.771988,0.265119
0.152195,31026,0.849050,0.286663
0.159354,33091,0.905561,0.298994
0.166795,34521,0.944694,0.309464
0.174523,35349,0.967353,0.315285
0.182545,35842,0.980844,0.320992
0.190865,36145,0.989136,0.325744
0.199488,36338,0.994417,0.329325
0.208417,36449,0.997455,0.331367
0.217655,36511,0.999152,0.332503
0.227206,36533,0.999754,0.332904
0.237069,36538,0.999891,0.332996
0.247246,36542,1.000000,0.333069
