threshold,kept,coverage,error
2.81756e-05,1,0.000506,1.000000
0.00104219,3,0.001517,0.333333
0.00116645,6,0.003033,0.166667
0.00138075,7,0.003539,0.142857
0.00154477,8,0.004044,0.250000
0.00193258,9,0.004550,0.222222
0.00216103,10,0.005056,0.300000
0.00228503,11,0.005561,0.272727
0.00241604,12,0.006067,0.333333
0.00285509,15,0.007583,0.400000
0.00301821,21,0.010617,0.333333
0.00337243,25,0.012639,0.320000
0.00356458,27,0.013650,0.333333
0.00376747,30,0.015167,0.300000
0.00420789,31,0.015672,0.322581
0.00444668,32,0.016178,0.312500
0.00469877,36,0.018200,0.333333
0.00496487,39,0.019717,0.358974
0.00524574,41,0.020728,0.365854
0.00554219,44,0.022245,0.363636
0.00585503,46,0.023256,0.369565
0.00653352,47,0.023761,0.361702
0.00690107,49,0.024772,0.346939
0.00728882,50,0.025278,0.340000
0.00769788,51,0.025784,0.352941
0.00812935,52,0.026289,0.346154
0.00906439,54,0.027300,0.333333
0.00957051,55,0.027806,0.327273
0.0101042,57,0.028817,0.333333
0.0106668,59,0.029828,0.338983
0.01126,62,0.031345,0.354839
0.0118853,69,0.034884,0.333333
0.0125443,72,0.036400,0.319444
0.0132388,75,0.037917,0.333333
0.0139707,81,0.040950,0.333333
0.0147418,88,0.044489,0.340909
0.0155542,93,0.047017,0.344086
0.01641,98,0.049545,0.326531
0.0173114,105,0.053084,0.314286
0.0182607,115,0.058140,0.304348
0.0192603,127,0.064206,0.307087
0.0203127,140,0.070779,0.300000
0.0214207,156,0.078868,0.288462
0.0225868,177,0.089484,0.299435
0.0238141,203,0.102629,0.315271
0.0251055,221,0.111729,0.298643
0.0264642,238,0.120324,0.294118
0.0278935,264,0.133468,0.299242
0.0293967,289,0.146107,0.297578
0.0309774,325,0.164307,0.292308
0.0326395,384,0.194135,0.294271
0.0343866,421,0.212841,0.306413
0.0362228,458,0.231547,0.310044
0.0381524,507,0.256320,0.319527
0.0401796,549,0.277553,0.311475
0.042309,613,0.309909,0.314845
0.0445451,669,0.338220,0.322870
0.046893,726,0.367037,0.316804
0.0493575,808,0.408493,0.318069
0.051944,873,0.441355,0.318442
0.0546576,922,0.466127,0.326464
0.0575041,995,0.503033,0.327638
0.060489,1049,0.530334,0.330791
0.0636183,1106,0.559151,0.329114
0.066898,1189,0.601112,0.325484
0.0703344,1253,0.633468,0.328811
0.0739339,1320,0.667341,0.334091
0.0777029,1374,0.694641,0.333333
0.0816481,1415,0.715369,0.333569
0.0857764,1470,0.743175,0.332653
0.0900948,1515,0.765925,0.334653
0.0946102,1549,0.783114,0.332473
0.0993298,1595,0.806370,0.333542
0.104261,1646,0.832154,0.334143
0.109411,1675,0.846815,0.334328
0.114786,1717,0.868049,0.335469
0.120396,1751,0.885238,0.336379
0.126245,1788,0.903943,0.336130
0.132343,1809,0.914560,0.337203
0.138696,1837,0.928716,0.338051
0.145311,1857,0.938827,0.338718
0.152195,1872,0.946411,0.338141
0.159354,1890,0.955511,0.337037
0.166795,1902,0.961577,0.337539
0.174523,1908,0.964611,0.337526
0.182545,1918,0.969666,0.337331
0.190865,1926,0.973711,0.336449
0.199488,1932,0.976744,0.337474
0.208417,1941,0.981294,0.339001
0.217655,1945,0.983316,0.338303
0.227206,1955,0.988372,0.337596
0.237069,1957,0.989383,0.337762
0.247246,1960,0.990900,0.337755
0.257736,1964,0.992922,0.337576
0.268535,1968,0.994944,0.338415
0.29105,1969,0.995450,0.338243
0.314743,1970,0.995956,0.338579
0.419307,1973,0.997472,0.338571
0.433154,1974,0.997978,0.338399
inf,1978,1.000000,0.339737
