threshold,kept,coverage,error
1.91133e-07,1,0.000027,0.000000
2.57048e-07,2,0.000055,0.000000
2.64774e-07,3,0.000082,0.000000
2.72732e-07,4,0.000109,0.000000
2.8937e-07,5,0.000137,0.000000
3.07019e-07,6,0.000164,0.000000
3.35525e-07,8,0.000219,0.000000
3.45602e-07,10,0.000274,0.000000
3.5598e-07,12,0.000328,0.000000
3.66669e-07,15,0.000410,0.000000
3.77678e-07,18,0.000493,0.000000
3.89016e-07,23,0.000629,0.000000
4.00694e-07,24,0.000657,0.000000
4.1272e-07,30,0.000821,0.000000
4.37864e-07,36,0.000985,0.000000
4.51003e-07,38,0.001040,0.000000
4.64535e-07,49,0.001341,0.000000
4.78471e-07,52,0.001423,0.000000
4.92824e-07,60,0.001642,0.000000
5.07606e-07,62,0.001697,0.000000
5.2283e-07,67,0.001834,0.000000
5.38509e-07,69,0.001888,0.000000
5.54657e-07,74,0.002025,0.000000
5.71287e-07,76,0.002080,0.000000
5.88414e-07,86,0.002353,0.000000
6.06053e-07,88,0.002408,0.000000
6.24218e-07,94,0.002572,0.000000
6.62194e-07,104,0.002846,0.000000
6.82036e-07,105,0.002873,0.000000
7.02471e-07,108,0.002956,0.000000
7.45189e-07,120,0.003284,0.000000
7.67509e-07,122,0.003339,0.000000
7.90495e-07,131,0.003585,0.000000
8.14167e-07,133,0.003640,0.000000
8.38546e-07,139,0.003804,0.000000
8.63651e-07,140,0.003831,0.000000
8.89506e-07,150,0.004105,0.000000
9.16132e-07,154,0.004214,0.000000
9.43552e-07,162,0.004433,0.000000
1.00087e-06,169,0.004625,0.000000
1.03082e-06,170,0.004652,0.000000
1.06165e-06,174,0.004762,0.000000
1.09341e-06,177,0.004844,0.016949
1.12612e-06,195,0.005336,0.015385
1.1598e-06,197,0.005391,0.020305
1.19448e-06,210,0.005747,0.019048
1.2302e-06,211,0.005774,0.018957
1.26698e-06,221,0.006048,0.018100
1.30485e-06,225,0.006157,0.017778
1.34386e-06,231,0.006321,0.017316
1.38402e-06,232,0.006349,0.017241
1.42538e-06,239,0.006540,0.016736
1.51183e-06,245,0.006705,0.016327
1.557e-06,248,0.006787,0.028226
1.60351e-06,253,0.006924,0.027668
1.6514e-06,257,0.007033,0.027237
1.70072e-06,266,0.007279,0.026316
1.8038e-06,274,0.007498,0.025547
1.85765e-06,276,0.007553,0.025362
1.9131e-06,297,0.008128,0.080808
2.02899e-06,302,0.008264,0.079470
