threshold,kept,coverage,error
4.48255e-06,1,0.000506,0.000000
9.3155e-06,2,0.001011,0.000000
1.04697e-05,3,0.001517,0.000000
2.50849e-05,4,0.002022,0.000000
2.65856e-05,5,0.002528,0.000000
4.22875e-05,8,0.004044,0.125000
5.03096e-05,9,0.004550,0.222222
5.33064e-05,10,0.005056,0.300000
6.34025e-05,11,0.005561,0.272727
6.71732e-05,12,0.006067,0.250000
7.11666e-05,13,0.006572,0.230769
8.96391e-05,14,0.007078,0.214286
0.000106551,15,0.007583,0.266667
0.000112864,17,0.008595,0.235294
0.000134118,19,0.009606,0.315789
0.00014205,20,0.010111,0.300000
0.000150447,21,0.010617,0.285714
0.000159337,22,0.011122,0.272727
0.000266802,23,0.011628,0.304348
0.000299093,26,0.013145,0.307692
0.000335251,28,0.014156,0.285714
0.000354922,29,0.014661,0.275862
0.000375736,30,0.015167,0.266667
0.000421058,33,0.016684,0.242424
0.000445709,34,0.017189,0.235294
0.000499378,35,0.017695,0.228571
0.000528563,38,0.019211,0.210526
0.000559435,39,0.019717,0.230769
0.000592092,42,0.021234,0.285714
0.000626633,44,0.022245,0.272727
0.000663167,45,0.022750,0.266667
0.000701806,48,0.024267,0.291667
0.000742671,52,0.026289,0.269231
0.000785888,55,0.027806,0.254545
0.00083159,57,0.028817,0.280702
0.000879918,58,0.029323,0.275862
0.000931021,60,0.030334,0.266667
0.000985054,62,0.031345,0.258065
0.00104219,66,0.033367,0.287879
0.00110259,70,0.035389,0.285714
0.00116645,71,0.035895,0.281690
0.00123395,74,0.037412,0.270270
0.00130532,77,0.038928,0.272727
0.00138075,79,0.039939,0.265823
0.00146049,84,0.042467,0.261905
0.00154477,86,0.043478,0.255814
0.00163384,91,0.046006,0.241758
0.00172797,96,0.048534,0.239583
0.00182745,97,0.049039,0.237113
0.00193258,101,0.051062,0.227723
0.00204366,105,0.053084,0.238095
0.00216103,110,0.055612,0.245455
0.00228503,114,0.057634,0.263158
0.00241604,125,0.063195,0.264000
0.00255445,128,0.064712,0.273438
0.00270065,140,0.070779,0.278571
0.00285509,144,0.072801,0.277778
0.00301821,148,0.074823,0.277027
0.00319049,154,0.077856,0.266234
0.00337243,162,0.081901,0.271605
0.00356458,175,0.088473,0.274286
0.00376747,181,0.091507,0.270718
0.0039817,188,0.095046,0.281915
0.00420789,195,0.098584,0.282051
0.00444668,201,0.101618,0.273632
0.00469877,213,0.107685,0.276995
0.00496487,223,0.112740,0.269058
0.00524574,235,0.118807,0.272340
0.00554219,241,0.121840,0.273859
0.00585503,253,0.127907,0.276680
0.00618517,258,0.130435,0.271318
0.00653352,281,0.142063,0.295374
0.00690107,299,0.151163,0.304348
0.00728882,317,0.160263,0.315457
0.00769788,327,0.165319,0.314985
0.00812935,343,0.173407,0.317784
0.00858444,359,0.181496,0.320334
0.00906439,370,0.187058,0.316216
0.00957051,382,0.193124,0.321990
0.0101042,390,0.197169,0.325641
0.0106668,400,0.202224,0.320000
0.01126,416,0.210313,0.317308
0.0118853,421,0.212841,0.318290
0.0125443,435,0.219919,0.319540
0.0132388,442,0.223458,0.319005
0.0139707,456,0.230536,0.315789
0.0147418,467,0.236097,0.321199
0.0155542,478,0.241658,0.320084
0.01641,486,0.245703,0.318930
0.0173114,501,0.253286,0.327345
0.0182607,512,0.258847,0.328125
0.0192603,533,0.269464,0.333959
0.0203127,538,0.271992,0.334572
0.0214207,551,0.278564,0.332123
0.0225868,566,0.286148,0.340989
0.0238141,577,0.291709,0.350087
0.0251055,588,0.297270,0.350340
0.0264642,603,0.304853,0.349917
0.0278935,609,0.307887,0.349754
0.0293967,626,0.316481,0.349840
0.0309774,634,0.320526,0.350158
0.0326395,653,0.330131,0.356815
0.0343866,661,0.334176,0.354009
0.0362228,679,0.343276,0.359352
0.0381524,690,0.348837,0.362319
0.0401796,706,0.356926,0.361190
0.042309,722,0.365015,0.367036
0.0445451,735,0.371587,0.372789
0.046893,749,0.378665,0.376502
0.0493575,756,0.382204,0.375661
0.051944,768,0.388271,0.375000
0.0546576,787,0.397877,0.376112
0.0575041,797,0.402932,0.376412
0.060489,810,0.409505,0.380247
0.0636183,822,0.415571,0.379562
0.066898,845,0.427199,0.384615
0.0703344,856,0.432760,0.383178
0.0739339,872,0.440849,0.383028
0.0777029,880,0.444894,0.380682
0.0816481,896,0.452983,0.382812
0.0857764,907,0.458544,0.382580
0.0900948,929,0.469666,0.385361
0.0946102,938,0.474216,0.385928
0.0993298,956,0.483316,0.385983
0.104261,961,0.485844,0.383975
0.109411,974,0.492417,0.383984
0.114786,982,0.496461,0.381874
0.120396,1008,0.509606,0.387897
0.126245,1014,0.512639,0.389546
0.132343,1027,0.519211,0.393379
0.138696,1036,0.523761,0.393822
0.145311,1056,0.533873,0.394886
0.152195,1061,0.536400,0.393968
0.159354,1078,0.544995,0.397959
0.166795,1086,0.549039,0.396869
0.174523,1112,0.562184,0.400180
0.182545,1120,0.566229,0.399107
0.190865,1149,0.580890,0.402089
0.199488,1158,0.585440,0.402418
0.208417,1187,0.600101,0.404381
0.217655,1193,0.603134,0.405700
0.227206,1216,0.614762,0.405428
0.237069,1219,0.616279,0.406071
0.247246,1239,0.626390,0.406780
0.257736,1246,0.629929,0.408507
0.268535,1275,0.644590,0.412549
0.279642,1281,0.647624,0.412178
0.29105,1308,0.661274,0.413609
0.302753,1311,0.662791,0.413425
0.314743,1335,0.674924,0.413483
0.327009,1338,0.676441,0.412556
0.33954,1364,0.689585,0.414223
0.35232,1370,0.692619,0.413869
0.365334,1407,0.711325,0.417200
0.378562,1412,0.713852,0.417847
0.391983,1438,0.726997,0.420028
0.405573,1440,0.728008,0.420139
0.419307,1479,0.747725,0.423259
0.433154,1480,0.748231,0.422973
0.447084,1519,0.767947,0.422646
0.461062,1520,0.768453,0.422368
0.475052,1548,0.782609,0.423127
0.489013,1551,0.784125,0.423598
0.502906,1588,0.802831,0.426952
0.516685,1591,0.804348,0.427404
0.530304,1627,0.822548,0.431469
0.556871,1673,0.845804,0.433951
0.569717,1674,0.846309,0.434289
0.582203,1717,0.868049,0.435061
0.605883,1756,0.887765,0.435080
0.61697,1758,0.888777,0.435722
0.627487,1798,0.908999,0.437152
0.646604,1826,0.923155,0.435378
0.662847,1863,0.941860,0.435856
0.675873,1895,0.958038,0.438522
0.685395,1934,0.977755,0.439504
0.688772,1936,0.978766,0.440083
0.691198,1963,0.992417,0.439633
0.693147,1978,1.000000,0.442366
